emg,ax,ay,az,gx,gy,gz,time
5159.0,-0.12,0.02,10.01,0.01,0.01,-0.01,1771668805.539459
20212.0,-0.04,0.03,9.98,0.01,0.02,-0.0,1771668805.53985
17644.0,-0.04,0.03,9.98,0.02,0.01,-0.0,1771668805.540212
2451.0,-0.1,0.07,9.97,0.01,0.01,-0.01,1771668805.540589
11084.0,-0.07,0.0,10.0,0.01,0.01,0.0,1771668805.540949
25174.0,-0.07,0.0,10.0,0.01,0.01,0.0,1771668805.541307
12018.0,-0.1,0.04,9.95,0.01,0.01,-0.01,1771668805.5416892
2039.0,-0.1,0.04,9.95,0.01,0.01,-0.01,1771668805.542038
17083.0,-0.12,0.06,9.99,0.01,0.01,-0.0,1771668805.5423949
21451.0,-0.15,0.05,9.96,0.01,0.01,-0.0,1771668805.5427608
6270.0,-0.15,0.05,9.96,0.01,0.01,-0.01,1771668805.5430112
7981.0,-0.12,0.1,9.94,0.01,0.01,0.0,1771668805.543191
23009.0,-0.12,0.02,9.98,0.01,0.01,-0.0,1771668805.543387
15329.0,-0.12,0.02,9.98,0.01,0.01,0.0,1771668805.543576
758.0,-0.07,-0.0,9.99,0.01,0.01,-0.0,1771668805.5437498
13432.0,-0.16,0.09,10.0,0.01,0.01,-0.01,1771668805.543933
24328.0,-0.16,0.09,10.0,0.01,0.01,-0.0,1771668805.544123
9402.0,-0.09,0.04,10.01,0.01,0.01,0.0,1771668805.544301
4170.0,-0.11,0.09,9.96,0.01,0.01,-0.0,1771668805.544478
19225.0,-0.11,0.09,9.96,0.01,0.01,-0.0,1771668805.544742
18629.0,-0.12,0.02,9.96,0.01,0.01,-0.0,1771668805.5449688
3407.0,-0.1,0.08,9.93,0.01,0.01,-0.0,1771668805.545124
10060.0,-0.1,0.08,9.93,0.01,0.01,-0.0,1771668805.545291
24802.0,-0.11,0.05,9.95,0.01,0.01,-0.0,1771668805.5454552
12913.0,-0.09,0.07,9.98,0.01,0.01,-0.0,1771668805.54561
1273.0,-0.09,0.07,9.98,0.01,0.01,0.0,1771668805.545759
16026.0,-0.1,0.06,9.99,0.01,0.02,-0.0,1771668805.5459242
22415.0,-0.09,0.06,9.96,0.01,0.01,-0.0,1771668805.546079
7257.0,-0.09,0.06,9.96,0.01,0.01,-0.0,1771668805.546231
6995.0,-0.08,0.06,9.96,0.01,0.01,-0.0,1771668805.5463831
21944.0,-0.08,0.06,9.96,0.01,0.01,-0.0,1771668805.5465732
16307.0,-0.07,0.06,9.96,0.01,0.01,0.0,1771668805.546726
1260.0,-0.07,0.04,9.96,0.01,0.01,0.0,1771668805.546878
12494.0,-0.07,0.04,9.96,0.01,0.02,-0.0,1771668805.547049
24919.0,-0.07,0.03,9.96,0.01,0.01,0.0,1771668805.547204
10404.0,-0.18,0.0,9.96,0.01,0.01,0.0,1771668805.5473568
